作者,看板,標題,日期,類型,內文
smallgigi (爸爸),Boy-Girl,Re: [討論] 台女會覺得外籍新娘是威脅嗎???????????,2023-11,討論,"會，而且絕對會。

國小同學就是這樣，剛好有機會去越南出差，

有機會認識了鄉下女孩子，待了一陣子順便學習越文，

女方農村家庭，會做多少家務就不用說了，而且年輕漂亮，

兩個人年紀差滿多的，已經結婚了。

我聽了也是大吃一驚，男生是穩定年收破百的。

台女聽我說。

你們真的被毒雞湯洗腦了，覺得男人該怎麼樣舔怎麼樣舔。

不能怪你們，但是聰明的女孩兒真的要早點清醒。

男人喜歡的是年輕、漂亮、溫柔的，不是你多能幹多強悍多能賺。

尤其會能操持家務加100分。

最重要的是不要擺著一副快來舔老娘的樣子，你不舔很多人排隊舔。

真的會讓很多男人望之怯步。

有相處不錯的，就交往結婚了吧。

但我要特定是越南鄉下、農村女生，城裡的就別了吧，跟現代台女

差不多，這點在大陸也一樣，所以大陸一線城市也很多剩女，整天

被毒雞湯洗腦，整天自慰這樣才是現代女人，要活出自己。

其實晚上都在孤單寂寞覺得冷，可憐沒人來抱。

這篇不是要批鬥台女，只是真的不要被毒雞湯洗腦了，只會被害的

孤老終身。

都是自己同胞，怎麼會希望自己人不好?

台男如果找台女可以，當然也是第一選擇，所以到底發生什麼事了?

台女醒醒吧。

"
hips (hips),Boy-Girl,Re: [討論] 台女會覺得外籍新娘是威脅嗎???????????,2023-11,討論,"我覺得你這個觀察有點思考誤區

因為除了外國人來台灣，台男也可以去那些國家啊

交通爛，房價貴，都是推力

台男出去的數量說不定就剛好補償到外配來台灣的數量

行政院這個就沒統計到國人移民出去的數量

其實現在出國這麼方便，比方澳洲啥魯蛇都能去，

婚姻市場本就是全球性競爭

台男台女都能各自找外男外女

還有，因為資訊不對稱降低（包括對自身價值的認識）

造成以前可以越級打怪的紅利沒有了

但好處就是每個人也不容易去屈就一個比自己爛很多的。



"
b122771 (躺平的韭菜),Boy-Girl,Re: [討論] 台女會覺得外籍新娘是威脅嗎???????????,2023-11,討論,"

這條是七年前2016年的新聞，...恩..現在即將快2024年了



就一堆失敗魯蛇，人生失敗到只能拿外籍配偶出來鞭，
搬這個鳥議題貶低台女最會。順便搞個自我安慰



疫情之前，越南妹就已經不太來台灣了。
現在都在吃老本。願意來的越南妹就兩種：台灣有親戚、越南留學生

順帶提一下：
我親戚透過仲介去越南找老婆。
人家越南新娘指定只願意與韓國人相親。
你台灣人晾去旁邊撿韓國人挑剩下的，早點洗洗睡




外籍新娘人數少到..連內政部的圖與數據都是""調整過的""
可能怕數據太難看QQ，所以數字寫的都很奇怪~
下面舉例推論說明：

https://imgur.com/Rpon6q4
國情統計通報 -行政院主計總處
綜合統計處 (TEL：23803449) 108 年8 月14 日

""紅色長條圖""外籍配偶結婚對數是增長的
(紅色是東南亞籍...越南+泰國+柬埔寨+印尼)
再看那兩個圓圈圈圖

台灣 76年開放兩岸探親之後，才有陸配來台灣...
76年 ~ 101 年底的中國籍配偶人數是 30.7萬
30.7萬 除 26年 = 101年之前陸配每年平均來 11807人

越南也用 76年去帶入好了...因為陸配變少，才變成越配是大宗
76年 ~ 101 年的越南籍配偶人數是 10.7萬
8.7萬 除 26年 = 101年之前越配每年平均來 3346人

接著計算
108年6月 ~ 101年 中國配偶人數
34.5萬 - 30.7萬 = 3.8萬
3.8萬 除 7.5年 = 這段期間陸配每年平均來 5066人

108年6月 - 101年 越南配偶人數
10.7萬 - 8.7萬 = 2萬
2萬 除 7.5年 = 這段期間越配每年平均來 2666 人

照這個方式計算...比照過往 26年
最近 10年兩大外配主力年增率是往下掉的...

而且是掉非常多，人數掉一半




"
sea130281 (胃哥),Boy-Girl,Re: [討論] 台女會覺得外籍新娘是威脅嗎???????????,2023-11,討論,"https://buzzorange.com/citiorange/2016/09/12/vietnam-bride-assault/

【台灣人要是沒自覺】「我們對越南配偶的歧視和糟蹋，將讓台灣變成被唾棄的落後國家



一名印尼女看護雇主性侵的新聞，在之前引起社會討論。該名女看護含辱以手機自拍蒐證
，甚至一度割腕自殘，然而雇主卻在事發後逃跑。這則消息也被印尼報導，以「台灣雇主
強姦」（TKW Taiwan Ini Diperkosa Majikannya）為題報導。

受害印尼女看護表示，整起事件中最讓她感到痛苦的，是「孤立無援」。事實上不只印尼
，東南亞外籍配偶這幾年也飽受台灣人欺負。這名作者提醒，現在東南亞急起直追，台灣
人要是沒自覺，20年後絕對是被唾棄的一個落後國家。（責任編輯：黃靖軒）

文／DogCanFly

何止是印尼女看護，台灣人對於東南亞人歧視欺負的程度，簡直是變態到令人髮指。

越南政府在好幾年前就已經在國營電視台上警告了，嫁到台灣不一定會有幸福，請越南的
女孩子們慎重考慮。越南的電視台也常常在演一齣戲，越南村裡如花似玉的女孩，歡天喜
地的嫁到台灣後，第一天是陪一個智障的男人睡覺，第二天晚上，是智障的爸爸來敲門，
要求陪睡覺 第三天晚上，是智障的爺爺也來敲門，要求也要陪睡覺。

編按：據媒體地球圖輯隊報導，1997年到2009年是越配來台高峰，但2007、2008年開始，
越南政府開始宣導，要越南女生嫁給外國人想清楚。由於當時台灣發生很多虐妻和殺妻案
，越南政府開始注重這件事，並開始和台灣駐越南辦事處合作，篩選台越婚姻。

台灣人經常外出體面，但是回到家裡那種醜陋不堪的劣根性，經常是噁心的徹底展現。以
前是台灣女人受害，現在台灣女人拒婚比例高，開始由嫁到台灣的東南亞女性開始遭殃。

好幾年越南有則新聞，嫁到台灣的越南女性，淪為全家族男人的性奴，當時是震驚了越南
人。

因為很多嫁到台灣的越南女生，在越南是受過良好教育、外貌端莊的好女孩 外嫁前家人
也都會交代，嫁到國外要隨時注意自己的舉止，不要給家裡丟臉，沒想到到台灣後，居然
是這種悲慘的結果。

編按：越南女性嫁到台灣的數字，這幾年確實下滑不少。據東森報導，台灣在2005年實施
一對一面談制度後，到了2007年越配從過去一年1萬2千到4千名，大幅降低到3、4千名。
另一方面，嫁到韓國的越南女性則增多，從2001年的134件，成長到2006年高達8千5百件
。

很多越南女生因為怕丟臉，不敢跟家裡說，但很多消息最後都還是流漏回越南了。這樣越
南人對台灣(歹龍)，充滿了一種詭異矛盾的心結：一方面崇拜台灣的繁榮先進、一方面又
必須接受自己正被台灣人歧視糟蹋的事實。

這股氣從2014年的排華事件就可看，出明明就是中國船艦挑釁越南，最後卻是台灣工廠被
打砸燒掠。越南近十幾年，有20幾萬的女生嫁到台灣，越南人在找工廠工作，哪家工廠是
台資、哪家是陸資，福利探聽的一清二楚。台灣人真的天真的以為，越南人不知道中國和
台灣的差別嗎？

2014年根本就不是排中，而是越南人終於找到機會對台灣出一口氣。2014年越南排華，日
本、韓國、新加坡的工廠都沒事，就台灣跟中國中槍，尤其台灣是遭到重創， 一點都不
是偶然。

台灣人的名聲正在加速敗壞中，可惜島內還是瀰漫一股井底之蛙的洋洋得意之氣，沒發現
台灣現在根本還在吃1990年累積的老本。

現在東南亞急起直追，台灣人要是沒自覺，20年後絕對是被唾棄的一個落後國家。

（本文經原作者DogCanFly授權轉載，並同意BuzzOrange編輯導讀與修訂標題，原文請見
：連結。首圖來源：Tauno Tõhk / 陶诺 CC licensed）
_______________________________

恩....越南政府還特地拍片宣導阿....

我找不到那些宣傳片...有沒有懂越南文的朋友可以找找看呢?

然後回原文標題的問題

我想台灣女性不會感到威脅，她們應該只會覺得慶幸:幸好我退了~~

"
mrsix (六本六十六),Boy-Girl,Re: [討論] 台女會覺得外籍新娘是威脅嗎???????????,2023-11,討論,"東南亞的也許台女看不上不會擔心，但是印度的呢？

台灣印度洽簽移工合作備忘錄 規劃年底前簽署
https://www.cna.com.tw/news/aipl/202311090409.aspx

印度人講英文，溝通上無縫接軌，而且印度人外貌和西方人類似，符合現代審美觀，帶出
去還可以讓台灣人覺得你好有歐美國際觀可以認識外國朋友，頂有面子的。


"
blessbless (肖戰吃屎),Boy-Girl,Re: [討論] 台女會覺得外籍新娘是威脅嗎???????????,2023-11,討論,"我有個叔叔娶越南的
花錢買來的
大學女生漂亮 20歲
買來後家裡所有事都她在做
家務 生孩子帶孩子 我叔叔一直有賭博習慣
最後家裡沒錢了
越南叔母只能包餃子出去賣賺錢養家
因為生的女兒
叔叔不僅打她還覺得她生不出兒子
最後女兒5歲左右再也受不了跑了
你問我外籍新娘是威脅嗎
我只覺得這些女孩真可憐
被自己家人為了蓋房子錢賣到異國受苦
因為不是台灣人
很多都遭受不平等對待

"
demitri (咻咻咻),Boy-Girl,Re: [討論] 台女會覺得外籍新娘是威脅嗎???????????,2023-11,討論,"
並不會 反而是同情居多
台灣新聞整天有越配被虐待或逃走新聞
尤其中老年的越配很多被當生子工具或奴隸
感覺就很慘

其次是 過去會找越配的男的
很多都是找不到台灣女生的類型
所以只會覺得越配很偉大
就算是為了錢吧
以女生立場來說 還是很大犧牲
要跟一個不愛的人結婚還要面對可能的虐待或歧視

不過時代不同了 台灣越配多了以後 建立了人脈
也越來越多台灣男生可以透過比較正常的管道認識越南妹子
自由戀愛也變多了 那這種就是普通CCR

那就更沒差了


"
xxx80076 (xxx80076),Boy-Girl,Re: [討論] 台女會覺得外籍新娘是威脅嗎???????????,2023-11,討論,"不會

台男會被台女看上的只有前20%的人數

以及歐、韓、日男等強勢國家的人種


剩下80%台女不愛的台男才可能會找外籍新娘，這80%台男要做什麼，台女不會在乎，因為
根本不放在眼裡。

"
motivate (motivate),Boy-Girl,[討論] 台女會覺得外籍新娘是威脅嗎?,2023-11,討論,"
台灣的外籍新娘越來越多

外表OK 聽話

每娶一個外籍新娘 台女就少一個可以選擇的對象

本來10人追 變成9人追

台女會因此擔心嗎 會不會想要建議立委禁止外籍新娘 就像禁止外勞一樣

"
oion13272613 (虛虛打八八),Boy-Girl,Re: [討論] 為什麼日女韓女比台女更願意生小孩??????,2023-11,討論,"
日本現在的模式很像美國

靠封建性高的地方維持本土人口

美國是紅州，像猶他州生育率偶爾可以到2

平衡一下加州的1.5

日本的宮崎線、鳥取線可以有1.5

補補東京都的1

至於韓國跟台灣當初土改太過火

地小又導致城市化太高

所以幾乎沒有那種地方

韓國能高台灣那一咪咪可能是宗教吧

基督家庭比較重視家庭，跟美國紅州相似

但影響也才那一咪咪而已，可以忽略不計

"
motivate (motivate),Boy-Girl,[討論] 為什麼日女韓女比台女更願意生小孩,2023-11,討論,"

生育率 台灣全球最後一名

生活壓力更大的日韓都比台灣高

表示

日女韓女 比台女更願意生小孩

有人知道為什麼嗎 生小孩後 被影響的層面都一樣 甚至台灣還有很多補助

有很多托嬰中心

但台女還是不願意生 不生取決於 結婚率低

到底是台女條件太高 還是日女韓女比較認命 知道自己在哪個階層 不會眼高手低

有沒有社會學專家 兩性專家可以分析一下 我們不看極端個體 我們看大數據

平均數 中位數 標準差

為什麼台女比日女韓女更不願意生小孩




"
staxsrm (薏仁茶),Boy-Girl,"Re: [討論]台女不願意結婚,老了要去哪裡?",2023-08,討論,"我自己本人是已婚

身邊同事跟朋友女生比較多男生比較少

已婚未婚當然都有

但是適婚年紀的單身男或女

很奇怪的是

男生都孤僻沒啥朋友

女生則是朋友多活動多感覺活得滿開心的

這兩類人本來就不會有交集

單身女一個人身心靈富足賺得也還夠一個人花

已婚有小孩的媽媽還會跟其他女性友人一起喝下午茶玩小孩

反正單身女生的社交真的比單身男豐富太多

看看求偶焦慮的人幾乎都是男的就知道

沒有另一半至少也應該豐富自己的人生吧

實際上生活有樂趣另一半可能就出現了

整天擔心女生沒行情的單身男真的讓人無言

"
sky2030 (無業遊民),Boy-Girl,"Re: [討論]台女不願意結婚,老了要去哪裡?",2023-08,討論,"其實台男台女如果老了 ，搞不好會上演大和解的戲碼

因為我去爬山很常看到一堆老阿伯，老阿姨坐在涼亭泡茶聊天
（不一定是夫妻）

台男老了 懶覺硬不起來 其實求偶焦慮自然就不存在

反而是老阿姨比較常開黃腔 然後老阿伯跟著笑 或偶爾回嗆

面對老阿姨也不用擔心咪兔

老阿姨照鏡子看自己皺巴巴的皮膚 跟漏氣的奶奶 ，大概也不會整天幻想 男生只是想幹自己而已

反而那時候搞不好一片和氣…

至於我自己覺得在那天到來之前，台男台女就做自己就好

台男可以泡八大 幹嫩妹 不用整天看對方臉色

台女就繼續自己的小日子…

反正本來就沒交集 也不用硬湊在一起



"
Emacs (Emacs),Boy-Girl,"Re: [討論]台女不願意結婚,老了要去哪裡?",2023-08,討論,"這不分性別好嗎？

男生女生老了就會遇到同樣問題

人緣好的話會有一些朋友

退休生活就是相約去爬山、打球或是喝下午茶

為人孤僻的就幾乎沒什麼朋友

也是可以獨自一人去爬山、打球或是吃吧廢

只是就是孤單了一點而已


其實我有個構想就是老了的話

其實未來政府可以廣設老人社會住宅

裡面就有點像是醫院那樣的格局

一人一間，套房，月租八千一萬

然後還會有護理站，派駐一位護士顧幾十人老人

比較健康能生活自理的就在a級社區

有輕度慢性病的就去住b社區，兩位護士顧幾十人老人

當然費用也更貴一點

再更糟一點就是去住c社區，三位護士顧幾十人老人，費用又更高一點

.......

諸如此類的

讓老人們彼此照顧彼此才是最好的

想要在家裡享天倫樂是最難成行的

也是最號最耗社會成本的

老人們跟兒女都沒話聊、跟子孫更沒話說

整天都窩在家裡看電視其實身體會老得更快

如果中風或是失智了對這個家庭根本是折磨

老人自己住？ 可能要飄屍臭味才會有人注意到

未來老人一人死在家裡，或是子女長照父母最後殺了父母

這類新聞只會越來越多而已

你想要哪一個下場？



"
OnceAFreak (一時癡狂),Boy-Girl,"Re: [討論]台女不願意結婚,老了要去哪裡?",2023-08,討論,"本篇原PO夾起來的小妹

先說結論:

原文其實有點故意引戰
但像原原PO或類似的咖明明求偶焦慮但老愛站在制高點上去批判異性的人滿可笑的

每次當我看到這種""台女幾歲了怎樣怎樣""、""台女嫁不出去會不會怎樣怎樣""、""台女
是不是眼光都怎樣怎樣""的季經文時

我都覺得:
1. 干你屁事
2. 好奇寫這種文的人心態是怎樣

先假設

(一)
寫這種文的人有女友或已經結婚
但這幾乎不可能
因為
(i) 如果你有女伴而且女伴年輕
你已經得到了還來發文臭? 不合邏輯
除非你就想搞個人設

(ii)有女伴而女伴不年輕
你也已經得到了，而且肯接受文中想貶低的某區段年齡女性的人，相信也已經接納這個
人的所有或是年紀對你擇偶的重要度不高
那發文去臭某區段年齡的女性也違背你現在的行為，除非你就是矛盾集合體

但如果我們假設
(二)
寫這種文而你沒女友、沒伴也未婚

就比較說得通了

我們一樣假設

(i) 你是交友佛系
如果這樣你有沒有交、別人有沒有交都不是很重要，心態佛戲更不可能發文

(ii) 你積極尋找另一半中

這時又可分為

(a) 你是好貨
如果是好貨，不管自不自知
基本上也不怕遇不到識貨的人或是會被心目中理想條件的人配對走
說白了，婚戀市場受惠於交友軟體、通訊社群軟體發達也算半效率市場
要有現貨嚴重高低估的狀況非常難發生，尤其交易時間變長，機率基本為零
所以說你也很快就發現你不用擔心特定族群的人想幹嘛

(b) 你其實不是好貨
這就比較殘酷了，畢竟凡人自評總是會給平均以上的評價，但誰來當平均及以下呢?
事實就是如果連你認為條件不理想的人(如同原文，是針對年齡)你都配不到
有沒有可能~~~
就是你沒那麼好???
不管你自不自知
想發文大書特書去質疑這群人不賞識你的行為
其實也透露出你自己的自卑、想要採低別人捧高自己的心態

這時我就想偷臭O2版那些老看到篩選特定條件(尤其是身高)的留言
別人就不要你的身高，你臭女生，只會把人家越推越遠吧?
如果自認條件夠好，可以無視身高，不直接去嘗試還花口舌去批評人家
我是不太理解呢~~~

原文其實也很明顯想討戰啦
孤身台男台女做人沒太差基本上兄弟姊妹都還能支應一下
況且時代進步
女人賺錢和照顧自己的能力並沒有男人差
應該總體而言是不需要擔心的


單純看到廢男就想發洩一下
假如各位看完文想認識小妹，非常歡迎喔 <3


"
mitsui0309 (#1TrdmeFy美門帶種點好嗎),Boy-Girl,"Re: [討論]台女不願意結婚,老了要去哪裡?",2023-08,討論,"

事實上呢!那些沒結婚的台女老了之後的未來也不關你的P事

你怎麼也不問問台男不結婚老了能去那裡呢?

嗯~我哥說老家還有個三合院沒人住，你就去那邊住

要吃飯的時候過來我這裡吃，家裡不差你這一雙筷子.......balabala












啊~忘了說，其實我已婚!

"
CuLiZn5566 (同理心5566),Boy-Girl,"Re: [討論]台女不願意結婚,老了要去哪裡?",2023-08,討論,"

ㄟ...本56的一堆強者女同學

都沒有結婚

3X歲的年紀大部分都有自己的房子

不管是父母給的或是自己買的

有的喜歡寵物的就養了貓貓狗狗

下班去健身房重訓上瑜珈課

周末去學學才藝插插花

一年跟好姐妹出國1~2次

一年一百多萬的收入養自己

其實日子過的很寬裕的


有一些年紀大一點的

也不想找老公還是男朋友

想要小孩直接去精子銀行

早點凍卵凍起來

反正自己有子宮愛怎麼生怎麼生

完全就繞過男生交往這件事情




人家有房子有收入有生活品質

要來一場浪漫的邂逅容易

但是男生要用房子用收入來買婚姻

大概也付不起

而且結婚後要處理跟老公那邊的事情

這種快樂生活也不會存在




只能說啦

這些未婚女性很多人日子過的比一般人爽

幫他們擔心真的是DUCK 不必


另外現在有文字獄條款

雖然天氣很熱水桶很涼

不過傻不攏凍的踩下去

也是蠻奇怪的....

"
motivate (motivate),Boy-Girl,"[討論]台女不願意結婚,老了要去哪裡?",2023-08,討論,"
現在未婚的台男台女不少

大家都說 沒好處幹嘛結婚 所以都沒結婚

當然評估好處之前 是不會思考自己能給對方甚麼好處

總之就是寧缺勿濫

那最後也有可能好缺都被別人屈就走了

那老台女最後會去哪呢

父母遲早會走 老台男還有可能住兄弟家

老台女應該不太可能住兄弟姊妹家

是不是只能去榮民之家

"
googstar (股大濕),Boy-Girl,Re: [討論] 台女S活得霸氣 台男宏傑顯得吞忍?為何?,2023-07,討論,"因為現在是法治時代
在遠古時代女的不聽就開扁
出軌就打死 所以就比較不會有這種事
另外就是台灣教育的問題
台男當老師就是社會的魯蛇
台女當老師就是個性機車的
被這種教到大的魯蛇台男
就會被這種女的壓著打
看看8+9為什麼可以那麼瀟灑
扁台女 販毒 詐騙 約炮
台女還會不離不棄 就是因為他不受魯蛇教育
不然看一下國外長大的華僑 受國外教育
明顯氣場就跟魯蛇台男不同
這種也不會被台女壓著
乖 認真 負責 其實都是奴的特徵
也是最不需要的求偶特質
仔細思考有那些特質就是被一個女的綁一輩子
如果你有錢有權有勢 真的不要有那些特質比較好
不愛就出軌 承諾隨便給 講話唬爛嘴
才是台男感情勝利的原則zz

"
a874622 (流浪者),Boy-Girl,[討論] 台女S活得霸氣 台男宏傑顯得吞忍?為何?,2023-07,討論,"大小S:現代台女鼻祖
大S 45歲生倆孩
逼前夫來台灣住開店投資
吃飯要前夫剝蝦
老公一出軌立刻離婚要小孩
20年沒換電話講一講沒見面就跟初戀再婚
45歲玩感情跟20年前一樣
修理前夫要錢一點不能少,
大批微博小粉紅都幫大S酸汪小菲
台灣肥宅對現代台女始祖有何看法?
不愧為始祖??? 台女就被這兩姊妹帶壞了????

江宏傑:
心懷祖國女孩回收肉食女
還處處被嫌
台男最後被綠還溫情喊話百般挽回
被綠後更伺候岳母想要挽回福原愛
最後只能為孩子家庭吞下去
保持低調生活

為何台女活得如此霸氣光芒四射!!
台男活的如此窩囔吞忍

這是台男台女的宿命嗎????
女孩支持宏傑跨海控訴!!!!!!!!

"
demitri (咻咻咻),Boy-Girl,Re: [討論]為什麼日韓女生比台女更願意生小孩?,2023-07,討論,"韓國最近比台灣還低了
但台日韓國都是墊底的 要比就拿日本比吧

要拿日本來講 他們全職媽媽比例高
台灣的話 多的是媽媽只能留職停薪

然後生後半年就回去工作的
大量的錢燒在托嬰或保母
可是有請人幫忙看
不代表父母就可以高枕無憂 安心工作
例如小孩生病不能送托嬰怎麼辦？
爸媽也要請假在家顧

有些撐不下去只能一方辭職在家全職帶（通常是媽媽）
職涯中斷不說 還少掉很多收入

這樣的規劃 不要說女生了
男生也不敢生吧

韓國不知道 日本公司婚後 會給男加薪
這點補助確實比較好

與其說是個人主義 不如說社會沒那麼多限制
框框架架比較少

應該說以前人礙於社會壓力 不敢不生
男的無後被認為不孝 女的不生被認為沒完成女人使命

現代人不會把生小孩綁定人生價值
更重視事業 個人生活品質
那生小孩跟這兩者有利益衝突

韓國生育率一樣很低 日本也低 但稍高一點

硬要說的話 大概是日本還是比較傳統
認為生兒育女是女人的使命的比例較高
但也越來越多人不吃這套了 （日本朋友的詮釋）

"
